date,cases
2020-03-21,1
2020-03-23,2
2020-04-16,3
2020-04-21,4
2020-04-30,5
2020-05-04,10
2020-05-06,11
2020-05-07,12
2020-05-11,14
2020-05-12,15
2020-05-15,18
2020-05-20,22
2020-05-22,23
2020-05-23,26
2020-05-24,27
2020-05-25,31
2020-05-27,33
2020-05-28,34
2020-05-29,35
2020-05-30,37
2020-05-31,41
2020-06-01,42
2020-06-02,46
2020-06-03,50
2020-06-04,51
2020-06-05,55
2020-06-06,57
2020-06-08,63
2020-06-09,64
2020-06-10,65
2020-06-11,71
2020-06-12,74
2020-06-13,75
2020-06-14,79
2020-06-15,90
2020-06-16,104
2020-06-17,113
2020-06-18,116
2020-06-19,130
2020-06-20,138
2020-06-21,143
2020-06-22,146
2020-06-23,159
2020-06-24,162
2020-06-25,172
2020-06-26,178
2020-06-27,179
2020-06-29,180
2020-06-30,185
2020-07-01,190
2020-07-02,198
2020-07-03,201
2020-07-04,208
2020-07-06,213
2020-07-07,216
2020-07-08,220
2020-07-09,232
2020-07-10,233
2020-07-11,237
2020-07-12,238
2020-07-13,243
2020-07-14,245
2020-07-15,246
2020-07-16,249
2020-07-17,254
2020-07-18,257
2020-07-19,261
2020-07-20,265
2020-07-21,267
2020-07-22,271
2020-07-23,273
2020-07-24,277
2020-07-25,280
2020-07-26,281
2020-07-27,282
2020-07-28,283
2020-07-29,287
2020-07-30,289
2020-07-31,291
2020-08-01,292
2020-08-02,296
2020-08-05,297
2020-08-06,299
2020-08-10,301
2020-08-14,302
2020-08-18,304
2020-08-21,305
2020-08-26,306
2020-08-28,307
2020-08-29,311
2020-09-01,314
2020-09-03,316
2020-09-07,318
2020-09-09,319
2020-09-14,320
2020-09-22,321
2020-09-26,322
2020-09-28,325
2020-09-29,327
2020-09-30,328
2020-10-02,329
2020-10-05,330
2020-10-06,331
2020-10-08,332
2020-10-12,333
2020-10-13,334
2020-10-16,336
2020-10-17,337
2020-10-18,339
2020-10-21,341
2020-10-22,342
2020-10-23,344
2020-10-27,345
2020-10-28,347
2020-10-29,348
2020-10-30,349
2020-10-31,350
2020-11-01,351
2020-11-02,352
2020-11-07,353
2020-11-09,354
2020-11-14,355
2020-11-15,356
2020-11-16,358
2020-11-20,359
2020-11-22,364
2020-11-23,370
2020-11-25,373
2020-11-26,381
2020-11-27,385
2020-11-28,386
2020-11-29,387
2020-11-30,390
2020-12-01,394
2020-12-02,395
2020-12-04,401
2020-12-06,402
2020-12-07,403
2020-12-09,408
2020-12-11,409
