date,cases
2020-03-13,1
2020-03-15,4
2020-03-17,6
2020-03-18,8
2020-03-21,11
2020-03-22,13
2020-03-24,14
2020-03-25,16
2020-03-26,17
2020-03-27,20
2020-03-28,22
2020-03-29,25
2020-03-31,26
2020-04-02,28
2020-04-04,29
2020-04-06,30
2020-04-08,31
2020-04-09,40
2020-04-10,47
2020-04-14,48
2020-04-16,49
2020-04-20,50
2020-04-21,52
2020-04-22,56
2020-04-24,58
2020-04-25,59
2020-04-26,60
2020-04-27,62
2020-04-28,63
2020-04-30,64
2020-05-02,65
2020-05-04,66
2020-05-06,68
2020-05-07,73
2020-05-10,74
2020-05-11,76
2020-05-12,78
2020-05-13,79
2020-05-19,80
2020-05-20,82
2020-05-22,83
2020-05-23,84
2020-06-01,85
2020-06-03,89
2020-06-04,93
2020-06-05,96
2020-06-06,104
2020-06-07,106
2020-06-08,111
2020-06-09,115
2020-06-10,116
2020-06-11,117
2020-06-12,122
2020-06-13,127
2020-06-14,135
2020-06-15,138
2020-06-16,148
2020-06-17,151
2020-06-18,163
2020-06-19,165
2020-06-20,168
2020-06-22,171
2020-06-23,189
2020-06-24,193
2020-06-25,203
2020-06-26,217
2020-06-27,225
2020-06-28,231
2020-06-29,241
2020-06-30,256
2020-07-01,284
2020-07-02,315
2020-07-03,332
2020-07-04,357
2020-07-05,377
2020-07-06,429
2020-07-07,496
2020-07-08,551
2020-07-09,626
2020-07-10,704
2020-07-11,761
2020-07-12,823
2020-07-13,997
2020-07-14,1127
2020-07-15,1277
2020-07-16,1440
2020-07-17,1571
2020-07-18,1708
2020-07-19,1753
2020-07-20,1815
2020-07-21,1952
2020-07-22,2088
2020-07-23,2253
2020-07-24,2406
2020-07-25,2518
2020-07-26,2623
2020-07-27,2785
2020-07-28,2968
2020-07-29,3138
2020-07-30,3326
2020-07-31,3533
2020-08-01,3655
2020-08-02,3743
2020-08-03,3995
2020-08-04,4215
2020-08-05,4399
2020-08-06,4595
2020-08-07,4708
2020-08-08,5010
2020-08-09,5082
2020-08-10,5280
2020-08-11,5488
2020-08-12,5670
2020-08-13,5872
2020-08-14,6138
2020-08-15,6300
2020-08-16,6535
2020-08-17,6651
2020-08-18,6863
2020-08-19,7028
2020-08-20,7153
2020-08-21,7293
2020-08-22,7394
2020-08-23,7425
2020-08-24,7757
2020-08-25,7870
2020-08-26,7957
2020-08-27,8017
2020-08-28,8094
2020-08-29,8178
2020-08-30,8208
2020-08-31,8269
2020-09-01,8338
2020-09-02,8392
2020-09-03,8453
2020-09-04,8555
2020-09-05,8617
2020-09-06,8657
2020-09-07,8736
2020-09-08,8816
2020-09-09,8879
2020-09-10,8957
2020-09-11,9028
2020-09-12,9084
2020-09-13,9130
2020-09-14,9227
2020-09-15,9298
2020-09-16,9345
2020-09-17,9407
2020-09-18,9489
2020-09-19,9556
2020-09-20,9605
2020-09-21,9713
2020-09-22,9819
2020-09-23,9903
2020-09-24,10003
2020-09-25,10071
2020-09-26,10147
2020-09-27,10215
2020-09-28,10327
2020-09-29,10423
2020-09-30,10492
2020-10-01,10594
2020-10-02,10727
2020-10-03,10810
2020-10-04,10869
2020-10-05,11011
2020-10-06,11129
2020-10-07,11206
2020-10-08,11323
2020-10-09,11439
2020-10-10,11497
2020-10-11,11550
2020-10-12,11599
2020-10-13,11731
2020-10-14,11797
2020-10-15,11920
2020-10-16,12039
2020-10-17,12151
2020-10-18,12257
2020-10-19,12439
2020-10-20,12664
2020-10-21,12798
2020-10-22,12936
2020-10-23,13173
2020-10-24,13376
2020-10-25,13512
2020-10-26,13730
2020-10-27,13913
2020-10-28,14034
2020-10-29,14194
2020-10-30,14340
2020-10-31,14484
2020-11-01,14578
2020-11-02,14688
2020-11-03,14844
2020-11-04,14915
2020-11-05,15021
2020-11-06,15236
2020-11-07,15379
2020-11-08,15525
2020-11-09,15777
2020-11-10,15925
2020-11-11,16050
2020-11-12,16333
2020-11-13,16588
2020-11-14,16800
2020-11-15,16966
2020-11-16,17157
2020-11-17,17350
2020-11-18,17488
2020-11-19,17702
2020-11-20,18030
2020-11-21,18206
2020-11-22,18351
2020-11-23,18616
2020-11-24,18892
2020-11-25,19098
2020-11-26,19385
2020-11-27,19575
2020-11-28,19764
2020-11-29,19829
2020-11-30,20042
2020-12-01,20357
2020-12-02,20604
2020-12-03,20899
2020-12-04,21201
2020-12-05,21502
2020-12-06,21714
2020-12-07,21985
2020-12-08,22141
2020-12-09,22361
2020-12-10,22577
2020-12-11,22888
2020-12-12,23049
2020-12-13,23103
2020-12-14,23345
2020-12-15,23619
2020-12-16,23851
2020-12-17,24007
2020-12-18,24078
2020-12-19,24150
2020-12-20,24190
2020-12-21,24313
2020-12-22,24337
