date,cases
2020-03-10,2
2020-03-12,3
2020-03-14,7
2020-03-15,8
2020-03-16,10
2020-03-18,11
2020-03-19,12
2020-03-20,13
2020-03-21,14
2020-03-23,16
2020-03-24,19
2020-03-25,26
2020-03-26,29
2020-03-27,33
2020-03-28,35
2020-03-30,38
2020-04-01,40
2020-04-02,41
2020-04-03,43
2020-04-05,44
2020-04-06,45
2020-04-09,46
2020-04-11,53
2020-04-12,56
2020-04-13,58
2020-04-17,59
2020-04-20,62
2020-04-21,68
2020-04-22,73
2020-04-23,76
2020-04-24,81
2020-04-25,84
2020-04-27,86
2020-04-28,87
2020-05-02,89
2020-05-03,93
2020-05-04,94
2020-05-07,98
2020-05-08,108
2020-05-09,110
2020-05-11,111
2020-05-12,114
2020-05-13,117
2020-05-14,118
2020-05-15,120
2020-05-16,123
2020-05-18,129
2020-05-19,130
2020-05-21,135
2020-05-23,137
2020-05-25,138
2020-05-29,139
2020-05-31,141
2020-06-01,142
2020-06-02,143
2020-06-03,144
2020-06-04,146
2020-06-05,147
2020-06-06,149
2020-06-09,153
2020-06-11,157
2020-06-13,158
2020-06-14,159
2020-06-16,171
2020-06-17,172
2020-06-18,175
2020-06-19,177
2020-06-20,179
2020-06-22,180
2020-06-23,182
2020-06-25,183
2020-06-26,189
2020-06-27,190
2020-06-28,192
2020-06-29,196
2020-06-30,197
2020-07-01,201
2020-07-02,204
2020-07-03,208
2020-07-04,213
2020-07-06,225
2020-07-07,237
2020-07-08,246
2020-07-09,261
2020-07-10,272
2020-07-11,281
2020-07-12,290
2020-07-13,299
2020-07-14,314
2020-07-15,329
2020-07-16,346
2020-07-17,365
2020-07-18,388
2020-07-19,401
2020-07-20,429
2020-07-21,455
2020-07-22,489
2020-07-23,528
2020-07-24,577
2020-07-25,622
2020-07-26,664
2020-07-27,741
2020-07-28,852
2020-07-29,917
2020-07-30,996
2020-07-31,1044
2020-08-01,1113
2020-08-02,1159
2020-08-03,1238
2020-08-04,1299
2020-08-05,1346
2020-08-06,1424
2020-08-07,1481
2020-08-08,1525
2020-08-09,1604
2020-08-10,1674
2020-08-11,1840
2020-08-12,1895
2020-08-13,1974
2020-08-14,2030
2020-08-15,2156
2020-08-16,2252
2020-08-17,2351
2020-08-18,2450
2020-08-19,2533
2020-08-20,2637
2020-08-21,2711
2020-08-22,2837
2020-08-23,2912
2020-08-24,3049
2020-08-25,3137
2020-08-26,3266
2020-08-27,3347
2020-08-28,3453
2020-08-29,3581
2020-08-30,3677
2020-08-31,3804
2020-09-01,3933
2020-09-02,4019
2020-09-03,4175
2020-09-04,4397
2020-09-05,4552
2020-09-06,4672
2020-09-07,4868
2020-09-08,5010
2020-09-09,5121
2020-09-10,5296
2020-09-11,5416
2020-09-12,5596
2020-09-13,5706
2020-09-14,5874
2020-09-15,6038
2020-09-16,6122
2020-09-17,6254
2020-09-18,6377
2020-09-19,6533
2020-09-20,6654
2020-09-21,6890
2020-09-22,7063
2020-09-23,7247
2020-09-24,7415
2020-09-25,7626
2020-09-26,7888
2020-09-27,8140
2020-09-28,8502
2020-09-29,8744
2020-09-30,8901
2020-10-01,9143
2020-10-02,9341
2020-10-03,9656
2020-10-04,9865
2020-10-05,10118
2020-10-06,10400
2020-10-07,10647
2020-10-08,10940
2020-10-09,11158
2020-10-10,11340
2020-10-11,11551
2020-10-12,11707
2020-10-13,11982
2020-10-14,12165
2020-10-15,12358
2020-10-16,12705
2020-10-17,12927
2020-10-18,13135
2020-10-19,13510
2020-10-20,13937
2020-10-21,14245
2020-10-22,14604
2020-10-23,14926
2020-10-24,15240
2020-10-25,15438
2020-10-26,15749
2020-10-27,15972
2020-10-28,16128
2020-10-29,16381
2020-10-30,16565
2020-10-31,16742
2020-11-01,16857
2020-11-02,17021
2020-11-03,17225
2020-11-04,17351
2020-11-05,17497
2020-11-06,17643
2020-11-07,17761
2020-11-08,17864
2020-11-09,18025
2020-11-10,18201
2020-11-11,18289
2020-11-12,18435
2020-11-13,18558
2020-11-14,18693
2020-11-15,18774
2020-11-16,18938
2020-11-17,19064
2020-11-18,19115
2020-11-19,19227
2020-11-20,19321
2020-11-21,19412
2020-11-22,19448
2020-11-23,19567
2020-11-24,19619
2020-11-25,19681
2020-11-26,19774
2020-11-27,19821
2020-11-28,19894
2020-11-29,19917
2020-11-30,19986
2020-12-01,20038
2020-12-02,20084
2020-12-03,20178
2020-12-04,20280
2020-12-05,20353
2020-12-06,20418
2020-12-07,20569
2020-12-08,20672
2020-12-09,20759
2020-12-10,20882
2020-12-11,20994
2020-12-12,21122
2020-12-13,21208
2020-12-14,21290
2020-12-15,21407
2020-12-16,21508
2020-12-17,21685
2020-12-18,21825
2020-12-19,21956
2020-12-20,22012
2020-12-21,22094
2020-12-22,22197
2020-12-23,22326
2020-12-24,22463
2020-12-25,22504
2020-12-26,22555
2020-12-27,22586
2020-12-28,22734
2020-12-29,22868
2020-12-30,22940
2020-12-31,22974
2021-01-01,23010
2021-01-02,23080
2021-01-03,23122
2021-01-04,23147
2021-01-05,23158
