date,cases
2020-03-17,1
2020-03-24,1
2020-03-25,1
2020-03-27,1
2020-04-14,2
2020-04-19,3
2020-04-21,1
2020-05-18,1
2020-05-29,1
2020-06-01,1
2020-06-02,1
2020-06-04,4
2020-06-05,1
2020-06-06,1
2020-06-07,3
2020-06-08,3
2020-06-09,3
2020-06-10,4
2020-06-11,7
2020-06-12,3
2020-06-13,1
2020-06-14,2
2020-06-15,1
2020-06-16,1
2020-06-17,1
2020-06-18,1
2020-06-19,2
2020-06-20,2
2020-06-21,1
2020-06-22,4
2020-06-23,4
2020-06-24,8
2020-06-25,2
2020-06-26,1
2020-06-27,5
2020-06-28,2
2020-06-29,1
2020-06-30,4
2020-07-01,4
2020-07-02,5
2020-07-03,5
2020-07-04,2
2020-07-05,6
2020-07-06,6
2020-07-07,9
2020-07-08,9
2020-07-09,11
2020-07-10,16
2020-07-11,6
2020-07-12,7
2020-07-13,17
2020-07-14,19
2020-07-15,7
2020-07-16,22
2020-07-17,17
2020-07-18,20
2020-07-19,12
2020-07-20,21
2020-07-21,24
2020-07-22,25
2020-07-23,12
2020-07-24,15
2020-07-25,17
2020-07-26,20
2020-07-27,25
2020-07-28,15
2020-07-29,14
2020-07-30,7
2020-07-31,13
2020-08-01,4
2020-08-02,11
2020-08-03,24
2020-08-04,16
2020-08-05,15
2020-08-06,14
2020-08-07,8
2020-08-08,9
2020-08-09,12
2020-08-10,14
2020-08-11,21
2020-08-12,15
2020-08-13,13
2020-08-14,11
2020-08-15,9
2020-08-16,6
2020-08-17,7
2020-08-18,25
2020-08-19,20
2020-08-20,21
2020-08-21,8
2020-08-22,10
2020-08-23,11
2020-08-24,24
2020-08-25,15
2020-08-26,17
2020-08-27,13
2020-08-28,9
2020-08-29,16
2020-08-30,10
2020-08-31,22
2020-09-01,14
2020-09-02,15
2020-09-03,12
2020-09-04,7
2020-09-05,7
2020-09-06,13
2020-09-07,15
2020-09-08,15
2020-09-09,17
2020-09-10,17
2020-09-11,23
2020-09-12,15
2020-09-13,24
2020-09-14,26
2020-09-15,10
2020-09-16,10
2020-09-17,18
2020-09-18,11
2020-09-19,14
2020-09-20,6
2020-09-21,16
2020-09-22,9
2020-09-23,18
2020-09-24,17
2020-09-25,17
2020-09-26,28
2020-09-27,13
2020-09-28,35
2020-09-29,16
2020-09-30,22
2020-10-01,19
2020-10-02,19
2020-10-03,9
2020-10-04,19
2020-10-05,43
2020-10-06,23
2020-10-07,25
2020-10-08,31
2020-10-09,33
2020-10-10,14
2020-10-11,22
2020-10-12,12
2020-10-13,10
2020-10-14,19
2020-10-15,19
2020-10-16,21
2020-10-17,21
2020-10-18,18
2020-10-19,27
2020-10-20,27
2020-10-21,31
2020-10-22,33
2020-10-23,33
2020-10-24,19
2020-10-25,5
2020-10-26,22
2020-10-27,11
2020-10-28,18
2020-10-29,15
2020-10-30,13
2020-10-31,11
2020-11-01,6
2020-11-02,1
2020-11-03,5
