date,cases
2020-03-30,1
2020-04-02,1
2020-04-03,1
2020-04-27,1
2020-05-28,1
2020-05-29,1
2020-06-06,1
2020-06-09,1
2020-06-11,1
2020-06-13,1
2020-06-16,3
2020-06-17,1
2020-06-18,1
2020-06-19,1
2020-06-22,2
2020-06-23,5
2020-06-24,2
2020-06-25,1
2020-06-26,3
2020-06-28,2
2020-06-29,1
2020-06-30,2
2020-07-01,2
2020-07-02,2
2020-07-03,3
2020-07-04,6
2020-07-05,11
2020-07-06,12
2020-07-07,12
2020-07-08,17
2020-07-09,10
2020-07-10,9
2020-07-11,3
2020-07-12,6
2020-07-13,17
2020-07-14,19
2020-07-15,28
2020-07-16,37
2020-07-17,22
2020-07-18,37
2020-07-19,9
2020-07-20,30
2020-07-21,25
2020-07-22,29
2020-07-23,15
2020-07-24,21
2020-07-25,26
2020-07-26,12
2020-07-27,21
2020-07-28,14
2020-07-29,10
2020-07-30,11
2020-07-31,10
2020-08-01,12
2020-08-02,12
2020-08-03,26
2020-08-04,26
2020-08-05,27
2020-08-06,11
2020-08-07,10
2020-08-08,27
2020-08-09,22
2020-08-10,21
2020-08-11,8
2020-08-12,15
2020-08-13,24
2020-08-14,16
2020-08-15,13
2020-08-16,19
2020-08-17,14
2020-08-18,24
2020-08-19,22
2020-08-20,25
2020-08-21,12
2020-08-22,27
2020-08-23,13
2020-08-24,36
2020-08-25,23
2020-08-26,12
2020-08-27,19
2020-08-28,19
2020-08-29,23
2020-08-30,18
2020-08-31,18
2020-09-01,23
2020-09-02,17
2020-09-03,10
2020-09-04,15
2020-09-05,22
2020-09-06,25
2020-09-07,29
2020-09-08,63
2020-09-09,22
2020-09-10,30
2020-09-11,40
2020-09-12,56
2020-09-13,36
2020-09-14,43
2020-09-15,34
2020-09-16,15
2020-09-17,19
2020-09-18,24
2020-09-19,29
2020-09-20,7
2020-09-21,25
2020-09-22,10
2020-09-23,14
2020-09-24,44
2020-09-25,21
2020-09-26,36
2020-09-27,42
2020-09-28,56
2020-09-29,33
2020-09-30,39
2020-10-01,41
2020-10-02,61
2020-10-03,33
2020-10-04,49
2020-10-05,51
2020-10-06,35
2020-10-07,36
2020-10-08,42
2020-10-09,41
2020-10-10,51
2020-10-11,42
2020-10-12,42
2020-10-13,44
2020-10-14,65
2020-10-15,38
2020-10-16,57
2020-10-17,50
2020-10-18,43
2020-10-19,52
2020-10-20,48
2020-10-21,36
2020-10-22,49
2020-10-23,62
2020-10-24,21
2020-10-25,68
2020-10-26,66
2020-10-27,51
2020-10-28,46
2020-10-29,42
2020-10-30,46
2020-10-31,52
2020-11-01,42
2020-11-02,60
2020-11-03,37
2020-11-04,14
2020-11-05,15
2020-11-06,38
2020-11-07,21
2020-11-08,17
2020-11-09,36
2020-11-10,22
2020-11-11,34
2020-11-12,54
2020-11-13,27
2020-11-14,32
2020-11-15,15
2020-11-16,16
2020-11-17,38
2020-11-18,38
2020-11-19,21
2020-11-20,23
2020-11-21,27
2020-11-22,14
2020-11-23,22
2020-11-24,24
2020-11-25,36
2020-11-26,13
2020-11-27,16
2020-11-28,1
